PO_ID     ,CURRENCY_CODE,GROSS_AMOUNT        ,NET_AMOUNT          ,TAX_AMOUNT          ,LIFECYCLE_STATUS,OVERALL_STATUS
300000000,EUR          ,3913.91,3289,624.91,N               ,P             
300000001,EUR          ,43534.96,36584,6950.96,N               ,A             
300000002,EUR          ,18142.74,15246,2896.74,N               ,R             
300000003,EUR          ,6251.07,5253,998.07,N               ,P             
300000004,EUR          ,4467.94,3754.57,713.37,N               ,P             
300000005,EUR          ,6362.89,5346.96,1015.93,N               ,P             
300000006,EUR          ,4348.26,3654,694.26,N               ,A             
300000007,EUR          ,1857.5,1560.92,296.58,N               ,P             
300000008,EUR          ,2791.74,2346,445.74,N               ,A             
300000009,EUR          ,1427.76,1199.8,227.96,N               ,P             
300000010,EUR          ,7261.38,6102,1159.38,N               ,R             
300000011,EUR          ,475.52,399.6,75.92,N               ,P             
300000012,EUR          ,15621.13,13127,2494.13,N               ,P             
300000013,EUR          ,6320.04,5310.95,1009.09,N               ,P             
300000014,EUR          ,239.19,201,38.19,N               ,P             
300000015,EUR          ,13075.83,10988.1,2087.73,N               ,P             
300000016,EUR          ,1942.08,1632,310.08,N               ,P             
300000017,EUR          ,117.8,98.99,18.81,N               ,P             
300000018,EUR          ,19813.5,16650,3163.5,N               ,P             
300000019,EUR          ,8448.47,7099.56,1348.91,N               ,P             
300000020,EUR          ,3980.08,3344.6,635.48,N               ,P             
300000021,EUR          ,7625.52,6408,1217.52,N               ,P             
300000022,EUR          ,1535.1,1290,245.1,N               ,P             
300000023,EUR          ,1624.35,1365,259.35,N               ,P             
300000024,EUR          ,13781.39,11581,2200.39,N               ,P             
300000025,EUR          ,47582.15,39985,7597.15,N               ,P             
300000026,EUR          ,18190.34,15286,2904.34,N               ,P             
300000027,EUR          ,9182.04,7716,1466.04,N               ,P             
300000028,EUR          ,5806.01,4879,927.01,N               ,P             
300000029,EUR          ,1626.37,1366.7,259.67,N               ,P             
300000030,EUR          ,2691.78,2262,429.78,N               ,P             
300000031,EUR          ,4950.4,4160,790.4,N               ,P             
300000032,EUR          ,12020.19,10101,1919.19,N               ,P             
300000033,EUR          ,71973.58,60482,11491.58,N               ,P             
300000034,EUR          ,8751.26,7354,1397.26,N               ,P             
300000035,EUR          ,4938.5,4150,788.5,N               ,P             
300000036,EUR          ,3227.24,2711.97,515.27,N               ,P             
300000037,EUR          ,8542.94,7178.94,1364,N               ,P             
300000038,EUR          ,3485.98,2929.4,556.58,N               ,P             
300000039,EUR          ,6127.29,5148.98,978.31,N               ,P             
300000040,EUR          ,13274.68,11155.2,2119.48,N               ,P             
300000041,EUR          ,1933.73,1624.98,308.75,N               ,P             
300000042,EUR          ,2153.9,1810,343.9,N               ,P             
300000043,EUR          ,5622.75,4725,897.75,N               ,P             
300000044,EUR          ,20476.33,17207,3269.33,N               ,P             
300000045,EUR          ,90278.16,75864,14414.16,N               ,P             
300000046,EUR          ,12848.43,10797,2051.43,N               ,P             
300000047,EUR          ,1067.43,897,170.43,N               ,P             
300000048,EUR          ,5257.42,4418,839.42,N               ,P             
300000049,EUR          ,16756.39,14081,2675.39,N               ,P             
300000050,EUR          ,7349.35,6175.92,1173.43,N               ,P             
300000051,EUR          ,11252.64,9456,1796.64,N               ,P             
300000052,EUR          ,3140.41,2639,501.41,N               ,P             
300000053,EUR          ,6251.07,5253,998.07,N               ,P             
300000054,EUR          ,3944.82,3314.97,629.85,N               ,P             
300000055,EUR          ,125635.44,105576,20059.44,N               ,P             
300000056,EUR          ,974.61,819,155.61,N               ,P             
300000057,EUR          ,3669.96,3084,585.96,N               ,P             
300000058,EUR          ,7677.85,6451.97,1225.88,N               ,P             
300000059,EUR          ,3453.38,2902,551.38,N               ,P             
300000060,EUR          ,12644.94,10626,2018.94,N               ,P             
300000061,EUR          ,4598.16,3864,734.16,N               ,P             
300000062,EUR          ,722.23,606.91,115.32,N               ,P             
300000063,EUR          ,2354.54,1978.6,375.94,N               ,P             
300000064,EUR          ,10281.6,8640,1641.6,N               ,P             
300000065,EUR          ,213043.32,179028,34015.32,N               ,P             
300000066,EUR          ,222.41,186.9,35.51,N               ,P             
300000067,EUR          ,808.84,679.7,129.14,N               ,P             
300000068,EUR          ,4137.63,3477,660.63,N               ,P             
300000069,EUR          ,1995.63,1677,318.63,N               ,P             
300000070,EUR          ,11320.47,9513,1807.47,N               ,P             
300000071,EUR          ,12848.43,10797,2051.43,N               ,P             
300000072,EUR          ,514.08,432,82.08,N               ,P             
300000073,EUR          ,3260.6,2740,520.6,N               ,P             
300000074,EUR          ,6117.69,5140.92,976.77,N               ,P             
300000075,EUR          ,14307.48,12023.1,2284.38,N               ,P             
300000076,EUR          ,3510.74,2950.2,560.54,N               ,P             
300000077,EUR          ,8979.74,7546,1433.74,N               ,P             
300000078,EUR          ,5519.22,4638,881.22,N               ,P             
300000079,EUR          ,14102.69,11851,2251.69,N               ,P             
300000080,EUR          ,3483.13,2927,556.13,N               ,P             
300000081,EUR          ,53780.86,45194,8586.86,N               ,P             
300000082,EUR          ,4872.25,4094.33,777.92,N               ,P             
300000083,EUR          ,8811.95,7405,1406.95,N               ,P             
300000084,EUR          ,5033.7,4230,803.7,N               ,P             
300000085,EUR          ,4031.72,3388,643.72,N               ,P             
300000086,EUR          ,6282.82,5279.68,1003.14,N               ,P             
300000087,EUR          ,12603.29,10591,2012.29,N               ,P             
